1 48859U 21054A   24283.77303334 -.00000079  00000-0  00000-0 0  9992,2 48859  55.3587 357.1527 0018279 223.5525 139.3200  2.00577582 24415
1 46826U 20078A   24282.03157227  .00000030  00000-0  00000-0 0  9991,2 46826  54.1418 235.8248 0049904 199.0119 164.3269  2.00560467 29135
1 45854U 20041A   24283.98293632 -.00000018  00000-0  00000+0 0  9993,2 45854  56.2202  52.9256 0048377 194.4813 162.8418  2.00571001 31698
1 44506U 19056A   24283.35553608 -.00000078  00000-0  00000-0 0  9990,2 44506  55.8314 355.5704 0047874 191.8962 136.1098  2.00557117 37716
1 43873U 18109A   24284.26159521  .00000064  00000-0  00000+0 0  9994,2 43873  55.3431 116.4794 0031201 191.8059 165.1553  2.00560543 42692
1 41328U 16007A   24283.61666316  .00000058  00000-0  00000-0 0  9999,2 41328  55.1748 113.9025 0080969 238.4297 120.8385  2.00556272 63496
1 41019U 15062A   24283.53491100 -.00000016  00000-0  00000-0 0  9999,2 41019  56.4994  54.6407 0099461 224.9349 134.2631  2.00562674 65487
1 40730U 15033A   24283.47445175  .00000010  00000-0  00000-0 0  9993,2 40730  54.4977 292.3861 0096754  19.8883 340.5163  2.00561161 67648
1 40534U 15013A   24283.81141083  .00000021  00000-0  00000-0 0  9994,2 40534  53.3083 229.6486 0092266  31.0370 329.5009  2.00558653 69485
1 40294U 14068A   24283.68114690 -.00000015  00000-0  00000-0 0  9999,2 40294  56.5202  54.7807 0054944  65.7019 294.8753  2.00567123 72863
1 40105U 14045A   24283.80398045  .00000059  00000-0  00000-0 0  9994,2 40105  54.9830 113.0271 0029544 116.0687 244.2971  2.00574049 73739
1 39741U 14026A   24283.71528146 -.00000077  00000-0  00000+0 0  9994,2 39741  56.6982 355.4323 0032875 312.9558  46.8249  2.00560074 76184
1 39533U 14008A   24283.93054706  .00000015  00000-0  00000+0 0  9994,2 39533  53.5992 174.3960 0073143 221.0052 138.5148  2.00574983 77897
1 39166U 13023A   24284.43447417  .00000012  00000-0  00000+0 0  9990,2 39166  55.0148 293.9307 0125037  44.9338 316.1063  2.00562430 83544
1 38833U 12053A   24284.07383477  .00000019  00000-0  00000+0 0  9994,2 38833  53.5178 168.7759 0158758  57.8378 303.7715  2.00560305 87991
1 37753U 11036A   24283.84322839 -.00000077  00000-0  00000-0 0  9999,2 37753  56.7536 355.9139 0128302  58.7394 102.8258  2.00569594 96939
1 36585U 10022A   24283.27187336  .00000028  00000-0  00000-0 0  9998,2 36585  54.4108 233.3951 0116661  62.1279 342.0321  2.00557268105247
1 35752U 09043A   24283.37766446 -.00000023  00000-0  00000-0 0  9996,2 35752  55.7696  51.7505 0055963  75.8839 287.3550  2.00562766111011
1 32711U 08012A   24283.89079733  .00000016  00000-0  00000+0 0  9996,2 32711  54.4496 174.4789 0189604 240.1196 118.0557  2.00571394121416
1 32384U 07062A   24283.32565565  .00000002  00000-0  00000-0 0  9993,2 32384  55.5442 298.8198 0028059 157.8600 221.6116  2.00553541123160
1 32260U 07047A   24283.97613292  .00000055  00000-0  00000+0 0  9998,2 32260  53.6706 105.4935 0159249  77.9870 283.8462  2.00558670124493
1 29601U 06052A   24283.17071995  .00000032  00000-0  00000-0 0  9994,2 29601  55.0967 238.4457 0085074  83.6703 277.2897  2.00573851131059
1 29486U 06042A   24283.55923980  .00000017  00000-0  00000-0 0  9999,2 29486  54.6754 175.7576 0104853  41.9241 179.6947  2.00574199132042
1 28874U 05038A   24282.20312016 -.00000003  00000-0  00000-0 0  9992,2 28874  55.4032 297.9854 0137442 285.8982 136.1857  2.00577796139464
1 28474U 04045A   24283.80422559 -.00000074  00000-0  00000-0 0  9994,2 28474  55.4019 349.6237 0164611 295.3856 225.9971  2.00562409146084
1 28190U 04009A   24283.88893170  .00000002  00000-0  00000-0 0  9998,2 28190  55.3563 300.4529 0098879 153.7349  21.8798  2.00555792150607
1 27704U 03010A   24283.58701256 -.00000074  00000-0  00000-0 0  9999,2 27704  55.0723 349.1745 0255501 330.2779  49.5662  2.00567063157763
1 27663U 03005A   24284.49487390  .00000026  00000-0  00000+0 0  9993,2 27663  55.0622 239.4073 0138814  47.8783  52.0192  2.00568205158973
1 26605U 00071A   24284.35823747  .00000064  00000-0  00000+0 0  9995,2 26605  55.3142 119.2581 0156697 260.4028 249.6510  2.00568027175194
1 26360U 00025A   24284.08205663 -.00000038  00000-0  00000+0 0  9995,2 26360  54.7583  44.2071 0039555 218.5253 324.8175  2.00570659178923
1 24876U 97035A   24283.45294156  .00000057  00000-0  00000-0 0  9998,2 24876  55.7066 122.6633 0084978  54.5068 306.3574  2.00561389199602
